"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30122","Handle Date Picker by Navigation and Selection","chromium","Tue Nov 11 21:44:16 PKT 2025","broken","Tue Nov 11 21:44:46 PKT 2025","","test.spec.js","",""
"","8020","Simulate keyboard actions (Select, Copy, Tab, Paste)","webkit","Tue Nov 11 21:47:06 PKT 2025","passed","Tue Nov 11 21:47:14 PKT 2025","","KeyboardActions.spec.js","",""
"","3671","get started link","webkit","Tue Nov 11 21:46:50 PKT 2025","passed","Tue Nov 11 21:46:54 PKT 2025","","example.spec.ts","",""
"","4621","Testcase 2","chromium","Tue Nov 11 21:43:30 PKT 2025","passed","Tue Nov 11 21:43:34 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","8001","simple file upload verification","firefox","Tue Nov 11 21:45:37 PKT 2025","failed","Tue Nov 11 21:45:45 PKT 2025","","MultiSelectDropdown.spec.js","",""
"","18390","Complete Flow: Login → Add Product to Cart → Logout","webkit","Tue Nov 11 21:47:22 PKT 2025","passed","Tue Nov 11 21:47:40 PKT 2025","DemoBlaze E-commerce with POM","pomTestFile.spec.js","",""
"","6869","Test 2: Should filter and display only Laptops when category is selected","chromium","Tue Nov 11 21:43:34 PKT 2025","passed","Tue Nov 11 21:43:41 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
"","2947","has title","webkit","Tue Nov 11 21:46:48 PKT 2025","passed","Tue Nov 11 21:46:51 PKT 2025","","example.spec.ts","",""
"","3803","Take screenshot of FullPage","chromium","Tue Nov 11 21:44:14 PKT 2025","passed","Tue Nov 11 21:44:18 PKT 2025","","screenshots.spec.js","",""
"","4745","simple file upload verification","chromium","Tue Nov 11 21:43:53 PKT 2025","failed","Tue Nov 11 21:43:58 PKT 2025","","MultiSelectDropdown.spec.js","",""
"","11542","Simulate keyboard actions (Select, Copy, Tab, Paste)","chromium","Tue Nov 11 21:43:35 PKT 2025","passed","Tue Nov 11 21:43:47 PKT 2025","","KeyboardActions.spec.js","",""
"","4108","has title","chromium","Tue Nov 11 21:43:24 PKT 2025","passed","Tue Nov 11 21:43:28 PKT 2025","","example.spec.ts","",""
